,Sector,Description,Sentiment,Sentiment_Label
0,Power Sector,"Secured historic clean power investments, including Inflation Reduction Act tax credits that will more than double wind, solar, and battery storage deployment; targeted support for clean electricity across rural America; and billions from the Bipartisan Infrastructure Law for grid upgrades and transmission buildout and for clean energy demonstrations.","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.9442}",Positive
1,Power Sector,"Launched the American offshore wind industry, approving the first large-scale projects, identifying new wind energy areas in the Atlantic and the Pacific, and holding a record-breaking $4.3 Billion lease sale in the New York Bight – putting this major new industry on track to achieve the President’s bold goal of deploying 30 gigawatts of offshore wind by 2030, all while creating good-paying union jobs up and down the supply chain.","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.7506}",Positive
2,Power Sector,"Fast-tracked clean energy projects to bring jobs and savings to communities, by approving a record-level, 35% increase in permitting of solar and other renewables on public lands and reducing fees and rents by 50% for wind and solar. The Administration is also helping local governments advance community solar projects and rooftop installations, and launching a new initiative to deploy distributed energy resources in disadvantaged communities. These efforts will help power 5 million homes by 2025.","{'neg': 0.033, 'neu': 0.795, 'pos': 0.172, 'compound': 0.8555}",Positive
3,Power Sector,"Supported domestic manufacturing of clean energy technologies, by invoking the Defense Production Act to make more solar panels, critical electric grid components, heat pumps, and more in America.","{'neg': 0.075, 'neu': 0.673, 'pos': 0.252, 'compound': 0.617}",Positive
4,Power Sector,"Accelerated innovation by creating an Energy Earthshots Initiative to drive clean energy breakthroughs and dramatically reduce the cost of critical technologies, including long-duration storage, clean hydrogen, enhanced geothermal systems, and floating offshore wind.","{'neg': 0.054, 'neu': 0.609, 'pos': 0.337, 'compound': 0.8779}",Positive
5,Power Sector,"Advanced smart rulemaking, including finalizing a “Good Neighbor Plan” rule to cut cross-state smog, and proposing rules to reduce toxic air and water pollution from power plants.","{'neg': 0.139, 'neu': 0.71, 'pos': 0.152, 'compound': 0.1027}",Positive
6,Transportation Sector,"Rallied automakers and autoworkers around an electric transportation future, setting a national target of 50% electric vehicle sales share in 2030 and spurring investments in new American factories to manufacture EVs, batteries, and chargers.","{'neg': 0.0, 'neu': 0.936, 'pos': 0.064, 'compound': 0.296}",Positive
7,Transportation Sector,"Secured largest investments ever in public transportation, passenger rail, an EV charging network, and battery supply chains through the Bipartisan Infrastructure Law, along with Inflation Reduction Act tax credits for new and used EVs, clean fuels, and EV chargers.","{'neg': 0.0, 'neu': 0.82, 'pos': 0.18, 'compound': 0.7845}",Positive
8,Transportation Sector,Released a National Blueprint for Transportation to enable agencies to accelerate the nation’s affordable and equitable clean transportation future.,"{'neg': 0.0, 'neu': 0.863, 'pos': 0.137, 'compound': 0.4019}",Positive
9,Transportation Sector,"Launched EV Charging Action Plan to build out a national charging network that is convenient, reliable, and equitable; approved deployment plans for all 50 states, D.C., and Puerto Rico ahead of schedule; and paired plans with billions of dollars in enabling grants.","{'neg': 0.0, 'neu': 0.86, 'pos': 0.14, 'compound': 0.6369}",Positive
10,Transportation Sector,"Finalized strongest passenger vehicle standards in American history to increase average fuel economy to 49 miles per gallon, protect communities from pollution, and save drivers money at the pump.","{'neg': 0.0, 'neu': 0.694, 'pos': 0.306, 'compound': 0.875}",Positive
11,Transportation Sector,"Proposed stronger standards on greenhouse gas and air pollution emissions from light- and heavy-duty vehicles, projected to result in 60% new EV sales share for the light-duty sector by 2030—exceeding the President’s 50% target.","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.5859}",Positive
12,Transportation Sector,"Accelerated clean buses, trucks, and ports with Vice President Harris announcing actions to reduce pollution from heavy-duty transportation and invest in electric vehicle models for public transit, school bus fleets, freight and port operations – providing relief to fenceline communities who bear the brunt of these dirty emissions.","{'neg': 0.055, 'neu': 0.835, 'pos': 0.11, 'compound': 0.4404}",Positive
13,Transportation Sector,"Strengthened battery supply chains by invoking the Defense Production Act to support American production of critical minerals and materials such as lithium, while adhering to strong sustainability and community engagement standards, and by reviving the Advanced Technology Vehicles Manufacturing Loan Program to support battery material processing projects.","{'neg': 0.039, 'neu': 0.658, 'pos': 0.304, 'compound': 0.9287}",Positive
14,Transportation Sector,"Advanced the future of American aviation, coordinating leadership and innovation across the federal government, aircraft manufacturers, airlines, fuel producers, and more to produce three billion gallons of sustainable fuel and reduce aviation emissions by 20% in 2030.","{'neg': 0.0, 'neu': 0.884, 'pos': 0.116, 'compound': 0.5574}",Positive
15,Buildings Sector,"Secured historic investments in energy efficient homes, with more than $3 billion from the Bipartisan Infrastructure Law to expand the Weatherization Assistance Program for low-income households and tax credits and $8.8 billion in rebates from the Inflation Reduction Act to support electric appliances and efficiency upgrades that make homes healthier and lower energy bills.","{'neg': 0.033, 'neu': 0.673, 'pos': 0.294, 'compound': 0.9382}",Positive
16,Buildings Sector,"Took 100+ actions in 2022 on appliance and equipment standards to save an average household at least $100 annually—including through efficiency improvements to air conditioners, furnaces, light bulbs, clothes dryers, and more—and reduce 2.4 billion tons of GHG emissions through standards completed in this term.","{'neg': 0.0, 'neu': 0.84, 'pos': 0.16, 'compound': 0.7906}",Positive
17,Buildings Sector,"Supported subnational action, launching a new Building Performance Standards Coalition of over 30 states and local governments to reduce building emissions, create good-paying union jobs in energy efficiency and electrification, and lower energy bills.","{'neg': 0.055, 'neu': 0.67, 'pos': 0.275, 'compound': 0.7845}",Positive
18,Buildings Sector,"Invested in school facility upgrades with Vice President Harris announcing a new Biden-Harris Action Plan for Building Better School Infrastructure to support energy efficiency retrofits and other improvements that save school districts money and deliver health and education benefits to students, educators and school staff.","{'neg': 0.0, 'neu': 0.669, 'pos': 0.331, 'compound': 0.946}",Positive
19,Buildings Sector,"Accelerated innovation with the launch of the Initiative for Better Energy, Emissions, and Equity on RDD&D of clean heating and cooling systems to support sustainable buildings and updated ENERGY STAR standards to promote innovative heat pump technologies and encourage electric appliances.","{'neg': 0.0, 'neu': 0.565, 'pos': 0.435, 'compound': 0.9707}",Positive
20,Buildings Sector,"Made commitments to federal sustainability, launching a Federal Sustainability Plan for net-zero emissions building portfolio by 2045 and 100% carbon pollution-free electricity by 2030 across federal facilities, and announcing the first-ever Federal Building Performance Standard.","{'neg': 0.0, 'neu': 0.957, 'pos': 0.043, 'compound': 0.128}",Positive
21,Industry Sector,"Secured historic investments to reduce industrial emissions, including $8 billion for clean hydrogen hubs and additional funding for clean hydrogen innovation in the Bipartisan Infrastructure Law, new tax credits to build a clean hydrogen industry and expand domestic manufacturing in the United States, and a new Inflation Reduction Act program focused on cleaner industrial facilities for steel, iron, cement, and other energy-intensive materials.","{'neg': 0.0, 'neu': 0.668, 'pos': 0.332, 'compound': 0.9694}",Positive
22,Industry Sector,"Advanced clean domestic manufacturing, with new trade commitments to reward American manufacturers of clean steel and aluminum, a Buy Clean Initiative for federal purchasing of low-carbon construction materials, the first comprehensive U.S. government plan to build an Energy Sector Industrial Base, and an Industrial Decarbonization Roadmap.","{'neg': 0.0, 'neu': 0.656, 'pos': 0.344, 'compound': 0.9468}",Positive
23,Industry Sector,"Issued the U.S. Methane Emissions Reduction Action Plan with more than 50 actions and $20 billion in new investments across multiple agencies to cut methane emissions from the oil and gas sector, abandoned coal mines, landfills, agriculture, buildings, and more, while protecting public health, promoting U.S. innovation in new technologies, and helping employ thousands of skilled workers across the country.","{'neg': 0.076, 'neu': 0.816, 'pos': 0.108, 'compound': 0.296}",Positive
24,Industry Sector,"Launched the phasedown of super-polluting hydrofluorocarbons found in refrigerators, air conditioners, and other equipment, with actions from across agencies to reduce HFC emissions by 85% over 15 years while strengthening domestic manufacturing of alternatives.","{'neg': 0.0, 'neu': 0.872, 'pos': 0.128, 'compound': 0.5719}",Positive
25,Industry Sector,"Promoted responsible deployment of Carbon Capture, Utilization, and Sequestration (CCUS) technologies, with guidance to help agencies ensure projects are environmentally sound, create union jobs, and reduce cumulative pollution in nearby communities.","{'neg': 0.0, 'neu': 0.675, 'pos': 0.325, 'compound': 0.8885}",Positive
26,Industry Sector,"Expanded partnerships to reduce industrial emissions, with DOE’s Better Buildings, Better Plants program now covering 3,600 facilities representing almost 14% of the U.S. manufacturing footprint, and launched the Low Carbon Pilot to support even greater ambition.","{'neg': 0.047, 'neu': 0.673, 'pos': 0.28, 'compound': 0.8555}",Positive
27,Lands & Agriculture Sector,"Secured historic investments to enlist nature in the fight against climate change, with over $40 billion in the Inflation Reduction Act to support climate-smart agriculture, forestry, and rural development and Bipartisan Infrastructure Law support for ecosystem restoration.","{'neg': 0.059, 'neu': 0.755, 'pos': 0.185, 'compound': 0.6705}",Positive
28,Lands & Agriculture Sector,Launched the America the Beautiful challenge to conserve 30 percent of U.S. lands and waters by 2030 by accelerating locally led conservation and leveraging $1 Billion in public and private investments.,"{'neg': 0.0, 'neu': 0.807, 'pos': 0.193, 'compound': 0.6908}",Positive
29,Lands & Agriculture Sector,"Issued an Executive Order on strengthening America’s forests, including by safeguarding mature and old-growth forests on federal lands and supporting reforestation partnerships.","{'neg': 0.0, 'neu': 0.621, 'pos': 0.379, 'compound': 0.875}",Positive
30,Lands & Agriculture Sector,"Restored and strengthened protections for cherished places, including Bears Ears, Grand Staircase-Escalante, and Northeast Canyons and Seamounts National Monuments, as well as the Tongass National Forest and Bristol Bay in Alaska, Castner Range in Texas, and Avi Kwa Ame in Nevada.","{'neg': 0.0, 'neu': 0.726, 'pos': 0.274, 'compound': 0.9118}",Positive
31,Lands & Agriculture Sector,"Protected sensitive areas from oil, gas, and hardrock mineral leasing, including the Arctic National Wildlife Refuge, Chaco Canyon, and Boundary Waters, and ensured thorough and science-based review of all fossil fuel projects on public lands.","{'neg': 0.0, 'neu': 0.921, 'pos': 0.079, 'compound': 0.4404}",Positive
32,Lands & Agriculture Sector,"Supported climate-smart agriculture projects anticipated to reach 60,000 farms and 25 million acres of working land, through a $3 billion commitment to create new market opportunities for commodities produced using climate-smart practices.","{'neg': 0.0, 'neu': 0.708, 'pos': 0.292, 'compound': 0.8271}",Positive
33,Lands & Agriculture Sector,"Re-established regulations to protect America’s waterways to ensure environmental protections for water bodies that are critical to the health, safety and economic vitality of communities.","{'neg': 0.071, 'neu': 0.613, 'pos': 0.316, 'compound': 0.7906}",Positive
34,More on Environmental Justice and Workers,"Secured historic environmental justice investments, including new grant programs in the Inflation Reduction Act and Bipartisan Infrastructure Law investments to clean up pollution, cap orphan oil and gas wells, reclaim abandoned mine lands, and replace lead pipes. The EPA’s $27 billion Greenhouse Gas Reduction Fund mobilizes financing and leverages private capital to further curb emissions and create benefits for disadvantaged communities.","{'neg': 0.075, 'neu': 0.687, 'pos': 0.238, 'compound': 0.8834}",Positive
35,More on Environmental Justice and Workers,"Launched and implemented the Justice40 Initiative to deliver 40 percent of the overall benefits of federal climate, clean energy, affordable and sustainable housing, clean water, and other investments to disadvantaged communities, with new guidance to help agencies transform hundreds of programs, and a new Climate and Economic Justice Screening Tool to ensure that agencies are consistently identifying and delivering benefits to disadvantaged communities.","{'neg': 0.068, 'neu': 0.643, 'pos': 0.289, 'compound': 0.9382}",Positive
36,More on Environmental Justice and Workers,"Helped families save on energy costs by doubling funding for the Low Income Home Energy Assistance Program, accelerating home efficiency and electrification retrofits, and supporting locally-driven clean energy plans to lower utility bills.","{'neg': 0.094, 'neu': 0.523, 'pos': 0.383, 'compound': 0.9062}",Positive
37,More on Environmental Justice and Workers,"Established the first-ever White House Environmental Justice Advisory Council to ensure that voices of historically marginalized, underserved, and overburdened communities are heard in the White House and reflected in the policies and investments of federal agencies.","{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.7184}",Positive
38,More on Environmental Justice and Workers,"Created new environmental justice initiatives across the federal government, including a comprehensive DOJ and EPA enforcement strategy to protect overburdened communities and hold polluters accountable, the first-ever Office of Environmental Justice at DOJ, the first-ever Office of Climate Change and Health Equity at HHS, agency Equity Action Plans that advance environmental justice, and more.","{'neg': 0.046, 'neu': 0.699, 'pos': 0.255, 'compound': 0.9153}",Positive
39,More on Environmental Justice and Workers,"Formed an Interagency Working Group on Coal and Power Plant Communities and Economic Revitalization to help identify and mobilize over $200 billion in federal funding opportunities that can be used to reduce pollution, support new industries, and create good-paying jobs.","{'neg': 0.0, 'neu': 0.781, 'pos': 0.219, 'compound': 0.8442}",Positive
40,More on Environmental Justice and Workers,Protected public health by driving a multi-pollutant regulatory strategy to reduce pollution from chemical manufacturing and other hotspots.,"{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.4404}",Positive
41,More on Climate Resilience,"Secured over $50 billion in resilience investments through the Bipartisan Infrastructure Law, the most in American history, with additional support in the Inflation Reduction Act to protect against drought, wildfires, and more. The Administration has also doubled funding levels for the Building Resilient Infrastructure and Communities program.","{'neg': 0.0, 'neu': 0.846, 'pos': 0.154, 'compound': 0.7906}",Positive
42,More on Climate Resilience,"Launched the Climate Mapping for Resilience and Adaptation portal to help officials track climate impacts in real-time and plan for future projections of extreme heat, drought, wildfires, flooding, and more.","{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.4939}",Positive
43,More on Climate Resilience,"Announced a coordinated federal response for extreme heat by launching nationwide standards and employer training to protect workers from heat exposure on the job, using the Low Income Home Energy Assistance Program to help provide A/C equipment, and more.","{'neg': 0.048, 'neu': 0.782, 'pos': 0.17, 'compound': 0.6486}",Positive
44,More on Climate Resilience,"Protected against flooding, superstorms, and sea level rise by re-establishing federal standards that will reduce flood risk, mobilizing new FEMA funding to help communities prepare, and launching interagency efforts on coastal restoration and nature-based solutions.","{'neg': 0.052, 'neu': 0.767, 'pos': 0.181, 'compound': 0.6369}",Positive
45,More on Climate Resilience,"Confronted growing wildfire threats by strengthening response capacity with more federal firefighters, launching a new Wildland Fire Mitigation and Management Commission, announcing awards to make communities more resilient to wildfires, and releasing action plans from the Forest Service, Department of the Interior, and other agencies.","{'neg': 0.132, 'neu': 0.718, 'pos': 0.149, 'compound': 0.2263}",Positive
46,More on Climate Resilience,"Strengthened drought prevention, resilience, and protection by launching a federal-state task force with Western governors and coordinating across agencies to provide financial and technical assistance to drought-stricken communities, including in the Western United States.","{'neg': 0.0, 'neu': 0.847, 'pos': 0.153, 'compound': 0.6808}",Positive
47,More on Climate Resilience,"Launched the National Initiative to Advance Building Codesto help state, local, Tribal, and territorial governments adopt the latest design and construction standards that save lives and reduce property damage from extreme weather.","{'neg': 0.081, 'neu': 0.687, 'pos': 0.232, 'compound': 0.5994}",Positive
48,More on International Efforts,"Launched the Global Methane Pledge, in partnership with the European Union, to reduce the world’s methane emissions 30% from 2020 levels by 2030, with more than 100 countries already signed on.","{'neg': 0.0, 'neu': 0.952, 'pos': 0.048, 'compound': 0.128}",Positive
49,More on International Efforts,"Convened the 2022 Major Economies Forum, representing 80% of global GDP and emissions, to launch a new Clean Energy Technologies Demonstration Challenge, Green Shipping Challenge, Global Fertilizer Challenge, and a collective 2030 zero-emission vehicle goal.","{'neg': 0.0, 'neu': 0.728, 'pos': 0.272, 'compound': 0.7269}",Positive
50,More on International Efforts,"Announced and expanded other major climate initiatives at COP26 in Glasgow, including the First Movers Coalition, the U.S. Plan to Conserve Global Forests: Critical Carbon Sinks, the Agriculture Innovation Mission for Climate and the High-Level Panel for a Sustainable Ocean Economy.","{'neg': 0.054, 'neu': 0.886, 'pos': 0.061, 'compound': 0.0772}",Positive
51,More on International Efforts,"Advanced the world’s first carbon-based sectoral arrangement on steel and aluminum trade, announcing a commitment to negotiate an arrangement with the European Union that will reward American manufacturers, prevent dirty products from entering U.S. markets, and result in more jobs and lower prices for Americans.","{'neg': 0.102, 'neu': 0.72, 'pos': 0.178, 'compound': 0.4654}",Positive
52,More on International Efforts,"Supported those most vulnerable to climate change worldwide, by releasing the first-ever U.S. International Climate Finance Plan, pledging to quadruple U.S. international climate finance and including these investments in the President’s FY23 Budget, and launching the President’s Emergency Plan for Adaptation and Resilience.","{'neg': 0.102, 'neu': 0.849, 'pos': 0.049, 'compound': -0.3597}",Negative
53,More on International Efforts,"Launched the Build Back Better World (B3W) infrastructure initiative at the G7 to mobilize hundreds of billions of dollars between G7 members and the private sector in sustainable, infrastructure investment for low- and middle-income countries and achieve the goals of the Paris Agreement.","{'neg': 0.043, 'neu': 0.801, 'pos': 0.156, 'compound': 0.6705}",Positive
54,More on International Efforts,"Rallied G7 leaders to end public finance for overseas unabated coal generation, with historic agreement on a set of new actions to accelerate the global transition and, for the first time in history, alignment across the G7 on long-term and short-term climate goals consistent with keeping the 1.5 degrees Celsius global warming threshold within reach.","{'neg': 0.0, 'neu': 0.896, 'pos': 0.104, 'compound': 0.5994}",Positive
55,More on International Efforts,"Convened other key global gatherings, includingthe first-ever Leaders Summit on Climate (which featured the launch of the Greening Government Initiative) and the Quad Leaders’ Summit (which featured the launch of a Green Shipping Network and Clean Hydrogen Partnership), and co-hosted the7th Annual Our Ocean Conference in Palau, announcing 100 U.S. commitments totaling more than $2.6 billion for ocean protection and climate solutions.","{'neg': 0.0, 'neu': 0.908, 'pos': 0.092, 'compound': 0.5994}",Positive
